Id;CalculationDate;Variable;Value
17662;2019-10-06;TurnoverRealization;1.190765381
17736;2019-10-06;PredictionOfOrdersValue;84996472
17762;2019-10-07;TurnoverRealization;1.185497284
17836;2019-10-07;PredictionOfOrdersValue;85042000
17862;2019-10-08;TurnoverRealization;1.193656921
17936;2019-10-08;PredictionOfOrdersValue;85205376
17962;2019-10-09;TurnoverRealization;1.201910496
18036;2019-10-09;PredictionOfOrdersValue;84773512
18062;2019-10-10;TurnoverRealization;1.199213624
18136;2019-10-10;PredictionOfOrdersValue;84637560
18153;2019-09-21;TurnoverRealization;1.176433444
18164;2019-10-11;TurnoverRealization;1.202298999
18238;2019-10-11;PredictionOfOrdersValue;84730848
18264;2019-10-12;TurnoverRealization;1.199777126
18338;2019-10-12;PredictionOfOrdersValue;84770144
18364;2019-10-13;TurnoverRealization;1.194606423
18438;2019-10-13;PredictionOfOrdersValue;84770144
18464;2019-10-14;TurnoverRealization;1.189480066
18538;2019-10-14;PredictionOfOrdersValue;84770144
18564;2019-10-15;TurnoverRealization;1.187546253
18638;2019-10-15;PredictionOfOrdersValue;84765704
18664;2019-10-16;TurnoverRealization;1.194696784
18738;2019-10-16;PredictionOfOrdersValue;84676384
18764;2019-10-17;TurnoverRealization;1.196037769
18838;2019-10-17;PredictionOfOrdersValue;84972016
18864;2019-10-18;TurnoverRealization;1.193611026
18938;2019-10-18;PredictionOfOrdersValue;84660768
18964;2019-10-19;TurnoverRealization;1.208660722
19038;2019-10-19;PredictionOfOrdersValue;85202480
19064;2019-10-20;TurnoverRealization;1.203604341
19138;2019-10-20;PredictionOfOrdersValue;85202480
19164;2019-10-21;TurnoverRealization;1.19859004
19238;2019-10-21;PredictionOfOrdersValue;85208824
19264;2019-10-22;TurnoverRealization;1.198160052
19338;2019-10-22;PredictionOfOrdersValue;84658800
19364;2019-10-23;TurnoverRealization;1.194480181
19438;2019-10-23;PredictionOfOrdersValue;84214640
19464;2019-10-24;TurnoverRealization;1.198258042
19538;2019-10-24;PredictionOfOrdersValue;84920080
19564;2019-10-25;TurnoverRealization;1.197532177
19638;2019-10-25;PredictionOfOrdersValue;84507424
19664;2019-10-26;TurnoverRealization;1.220119119
19738;2019-10-26;PredictionOfOrdersValue;85262768
19764;2019-10-27;TurnoverRealization;1.215160012
19838;2019-10-27;PredictionOfOrdersValue;85262768
19864;2019-10-28;TurnoverRealization;1.210241079
19938;2019-10-28;PredictionOfOrdersValue;85261800
19964;2019-10-29;TurnoverRealization;1.207981825
20038;2019-10-29;PredictionOfOrdersValue;85227680
20064;2019-10-30;TurnoverRealization;1.201319337
20138;2019-10-30;PredictionOfOrdersValue;84049816
20164;2019-10-31;TurnoverRealization;1.203279376
20238;2019-10-31;PredictionOfOrdersValue;84444440
20264;2019-11-01;TurnoverRealization;1.200128198
20338;2019-11-01;PredictionOfOrdersValue;85239304
20364;2019-11-02;TurnoverRealization;1.194120407
20438;2019-11-02;PredictionOfOrdersValue;85239304
20464;2019-11-03;TurnoverRealization;1.18817234
20538;2019-11-03;PredictionOfOrdersValue;85239304
20564;2019-11-04;TurnoverRealization;1.182283282
20638;2019-11-04;PredictionOfOrdersValue;85239304
20665;2019-11-05;TurnoverRealization;1.189277411
20739;2019-11-05;PredictionOfOrdersValue;84841264
20766;2019-11-06;TurnoverRealization;1.198410988
20840;2019-11-06;PredictionOfOrdersValue;83135800
20867;2019-11-07;TurnoverRealization;1.203496695
20941;2019-11-07;PredictionOfOrdersValue;83414648
20968;2019-11-08;TurnoverRealization;1.206938386
21042;2019-11-08;PredictionOfOrdersValue;82898960
21069;2019-11-09;TurnoverRealization;1.203715205
21143;2019-11-09;PredictionOfOrdersValue;82188192
21170;2019-11-10;TurnoverRealization;1.197921276
21244;2019-11-10;PredictionOfOrdersValue;82188192
21271;2019-11-11;TurnoverRealization;1.192183018
21345;2019-11-11;PredictionOfOrdersValue;82188192
21372;2019-11-12;TurnoverRealization;1.186499476
21446;2019-11-12;PredictionOfOrdersValue;82178872
21473;2019-11-13;TurnoverRealization;1.1826545
21547;2019-11-13;PredictionOfOrdersValue;81812976
21574;2019-11-14;TurnoverRealization;1.17805922
21647;2019-11-14;PredictionOfOrdersValue;81814608
21674;2019-11-15;TurnoverRealization;1.183276176
21747;2019-11-15;PredictionOfOrdersValue;81428856
21774;2019-11-16;TurnoverRealization;1.184055805
21847;2019-11-16;PredictionOfOrdersValue;81290952
21874;2019-11-17;TurnoverRealization;1.178542376
21947;2019-11-17;PredictionOfOrdersValue;81290952
21974;2019-11-18;TurnoverRealization;1.184190392
22047;2019-11-18;PredictionOfOrdersValue;81316272
22074;2019-11-19;TurnoverRealization;1.171309233
22147;2019-11-19;PredictionOfOrdersValue;80733344
22174;2019-11-20;TurnoverRealization;1.16765523
22247;2019-11-20;PredictionOfOrdersValue;80042032
22274;2019-11-21;TurnoverRealization;1.171142101
22347;2019-11-21;PredictionOfOrdersValue;80293992
22374;2019-11-22;TurnoverRealization;1.167745471
22447;2019-11-22;PredictionOfOrdersValue;80363168
22474;2019-11-23;TurnoverRealization;1.165585399
22547;2019-11-23;PredictionOfOrdersValue;80183744
22574;2019-11-24;TurnoverRealization;1.160329223
22647;2019-11-24;PredictionOfOrdersValue;80183744
22674;2019-11-25;TurnoverRealization;1.156510234
22747;2019-11-25;PredictionOfOrdersValue;80183736
22774;2019-11-26;TurnoverRealization;1.153312325
22847;2019-11-26;PredictionOfOrdersValue;79811872
22874;2019-11-27;TurnoverRealization;1.156792879
22947;2019-11-27;PredictionOfOrdersValue;79373856
22974;2019-11-28;TurnoverRealization;1.158165693
23047;2019-11-28;PredictionOfOrdersValue;80002576
23074;2019-11-29;TurnoverRealization;1.158927202
23147;2019-11-29;PredictionOfOrdersValue;79443728
23174;2019-11-30;TurnoverRealization;1.156424761
23247;2019-11-30;PredictionOfOrdersValue;78546240
23274;2019-12-01;TurnoverRealization;1.148957849
23347;2019-12-01;PredictionOfOrdersValue;78546240
23374;2019-12-02;TurnoverRealization;1.149841785
23447;2019-12-02;PredictionOfOrdersValue;79145456
23475;2019-12-03;TurnoverRealization;1.145727038
23548;2019-12-03;PredictionOfOrdersValue;77422832
23576;2019-12-04;TurnoverRealization;1.148633003
23648;2019-12-04;PredictionOfOrdersValue;77420272
23676;2019-12-05;TurnoverRealization;1.151242495
23748;2019-12-05;PredictionOfOrdersValue;77859224
23776;2019-12-06;TurnoverRealization;1.144846559
23848;2019-12-06;PredictionOfOrdersValue;76629136
23876;2019-12-07;TurnoverRealization;1.139300227
23948;2019-12-07;PredictionOfOrdersValue;75214120
23976;2019-12-08;TurnoverRealization;1.132261992
24048;2019-12-08;PredictionOfOrdersValue;75214120
24076;2019-12-09;TurnoverRealization;1.125310183
24148;2019-12-09;PredictionOfOrdersValue;75213696
24176;2019-12-10;TurnoverRealization;1.12545979
24249;2019-12-10;PredictionOfOrdersValue;75488288
24277;2019-12-11;TurnoverRealization;1.121338606
24350;2019-12-11;PredictionOfOrdersValue;75504384
24378;2019-12-12;TurnoverRealization;1.116975546
24451;2019-12-12;PredictionOfOrdersValue;75837320
24479;2019-12-13;TurnoverRealization;1.112007737
24552;2019-12-13;PredictionOfOrdersValue;76625936
24580;2019-12-15;TurnoverRealization;1.108362794
24653;2019-12-15;PredictionOfOrdersValue;78094536
24681;2019-12-16;TurnoverRealization;1.101807714
24754;2019-12-16;PredictionOfOrdersValue;78092736
24782;2019-12-17;TurnoverRealization;1.098414302
24855;2019-12-17;PredictionOfOrdersValue;77762720
24883;2019-12-18;TurnoverRealization;1.101639628
24956;2019-12-18;PredictionOfOrdersValue;77587824
24984;2019-12-19;TurnoverRealization;1.111679554
25057;2019-12-19;PredictionOfOrdersValue;74658368
25085;2019-12-20;TurnoverRealization;1.117303491
25158;2019-12-20;PredictionOfOrdersValue;74849544
25186;2019-12-21;TurnoverRealization;1.117446542
25259;2019-12-21;PredictionOfOrdersValue;74456656
25287;2019-12-22;TurnoverRealization;1.111092806
25360;2019-12-22;PredictionOfOrdersValue;74456656
25388;2019-12-23;TurnoverRealization;1.104810953
25461;2019-12-23;PredictionOfOrdersValue;74444056
